INFO 2024-12-11 14:09:14,362 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,387 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,424 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,460 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,486 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:14,510 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,610 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,643 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,672 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,704 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,732 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,754 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,805 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,831 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,854 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,886 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,908 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,942 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:44,994 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,016 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,046 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,076 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,119 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,143 basehttp 15956 8176 "GET /informes/ HTTP/1.1" 302 0
INFO 2024-12-11 14:09:45,166 basehttp 15956 8176 "GET /login/?next=/informes/ HTTP/1.1" 302 0
